,consistency,relevance,coherence,fluency
rouge-anyref-pegasus-cnndm-constant-32-64_rougeLsum,0.35,0.546,0.463,0.158
bleurt-anyref-pegasus-newsroom-default_scores,0.279,0.369,0.195,0.195
bleurt-anyref-pegasus-newsroom-min-0.2-0.5_scores,0.183,0.259,0.125,0.094
bleurt-anyref-pegasus-newsroom-min-0.5-0.7_scores,0.183,0.259,0.125,0.094
bleurt-anyref-pegasus-newsroom-mean-0.2-0.5_scores,0.183,0.259,0.125,0.094
bleurt-anyref-pegasus-newsroom-mean-0.5-0.7_scores,0.183,0.259,0.125,0.094
bleurt-anyref-pegasus-newsroom-constant-16-32_scores,0.183,0.259,0.125,0.094
bleurt-anyref-pegasus-newsroom-constant-32-64_scores,0.279,0.369,0.195,0.195
bleurt-anyref-pegasus-cnndm-default_scores,0.318,0.499,0.395,0.213
bleurt-anyref-pegasus-cnndm-min-0.2-0.5_scores,0.328,0.501,0.407,0.219
bleurt-anyref-pegasus-cnndm-min-0.5-0.7_scores,0.328,0.501,0.407,0.219
bleurt-anyref-pegasus-cnndm-mean-0.2-0.5_scores,0.328,0.501,0.407,0.219
bleurt-anyref-pegasus-cnndm-mean-0.5-0.7_scores,0.328,0.501,0.407,0.219
bleurt-anyref-pegasus-cnndm-constant-16-32_scores,0.328,0.501,0.407,0.219
bleurt-anyref-pegasus-cnndm-constant-32-64_scores,0.318,0.499,0.395,0.213
bertscore-sentence-pagerank-cos-mpnet-entropy_P,0.33,0.28,0.32,0.263
bertscore-sentence-pagerank-cos-mpnet-entropy_R,0.133,0.23,0.164,0.218
bertscore-sentence-pagerank-cos-mpnet-entropy_F,0.227,0.298,0.253,0.272
bertscore-sentence-pagerank-cos-mpnet-sum_P,0.345,0.31,0.352,0.248
bertscore-sentence-pagerank-cos-mpnet-sum_R,0.131,0.207,0.15,0.213
bertscore-sentence-pagerank-cos-mpnet-sum_F,0.23,0.286,0.252,0.261
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-entropy_P,0.429,0.336,0.291,0.166
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-entropy_R,0.003,0.125,0.1,0.077
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-entropy_F,0.108,0.05,0.086,0.091
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-sum_P,-0.222,0.031,0.094,-0.108
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-sum_R,0.027,0.053,0.111,-0.033
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-sum_F,0.153,0.163,-0.001,0.029
bertscore-sentence-mnli-roberta-entail_contradict-topk-5_P,0.338,0.328,0.267,0.183
bertscore-sentence-mnli-roberta-entail_contradict-topk-5_R,0.281,0.41,0.307,0.087
bertscore-sentence-mnli-roberta-entail_contradict-topk-5_F,0.248,0.364,0.293,0.144
bertscore-sentence-mnli-roberta-entail_contradict-topk-10_P,0.433,0.278,0.262,0.179
bertscore-sentence-mnli-roberta-entail_contradict-topk-10_R,0.236,0.308,0.25,0.126
bertscore-sentence-mnli-roberta-entail_contradict-topk-10_F,0.272,0.291,0.288,0.013
bertscore-sentence-mnli-roberta-entail_contradict-topk-20_P,0.388,0.203,0.234,0.12
bertscore-sentence-mnli-roberta-entail_contradict-topk-20_R,0.173,0.209,0.136,0.105
bertscore-sentence-mnli-roberta-entail_contradict-topk-20_F,0.244,0.255,0.198,0.152
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.2_P,0.234,0.299,0.256,0.104
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.2_R,0.294,0.35,0.271,0.175
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.2_F,0.299,0.373,0.311,0.121
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.5_P,0.329,0.328,0.305,0.111
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.5_R,0.231,0.275,0.19,0.141
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.5_F,0.306,0.325,0.258,0.131
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.7_P,0.392,0.293,0.322,0.141
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.7_R,0.253,0.282,0.223,0.148
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.7_F,0.305,0.332,0.283,0.114
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-5_P,0.206,0.302,0.224,0.218
