P,R,F
8.935612440109252930e-01,4.346745915710926167e-01,5.848485011157830149e-01
8.353202305734157562e-01,8.727370619773865412e-01,8.536188183151742770e-01
9.940268397331237793e-01,4.822991179923216687e-01,6.494748203203219994e-01
7.475851476192474365e-01,4.275638163089752197e-01,5.439997286191157189e-01
7.442698478698730469e-01,4.094799503684043995e-01,5.283009900964930061e-01
1.809173375368118286e-01,6.967089188692625334e-02,1.006006730083366663e-01
9.245134989420572547e-01,4.532106414437294117e-01,6.082485507753232490e-01
9.040311813354492410e-01,4.407311543822288735e-01,5.925726733488031472e-01
6.388946175575256348e-01,2.976289665326476430e-01,4.060838359594552416e-01
7.607478499412536621e-01,4.472585424159963852e-01,5.633264470511246680e-01
7.936044335365295410e-01,4.013971079761783356e-01,5.331382654040679459e-01
9.478305280208587646e-01,5.538936540484428184e-01,6.991927290678879858e-01
9.654339551925659180e-01,3.246693483553826920e-01,4.859251383211117825e-01
8.161931037902832031e-01,3.139832891523838265e-01,4.535061905589927722e-01
2.836531028151512146e-01,1.379998204531148187e-01,1.856696590933171465e-01
9.602581709623336792e-01,6.040543347597122636e-01,7.416013213938928983e-01
8.602288109915596781e-01,4.441167742013931719e-01,5.857988081527575330e-01
5.134653449058532715e-01,2.664565166458487400e-01,3.508458833293089385e-01
1.876991242170333862e-01,1.161534147337079104e-01,1.435031235586892717e-01
8.248774558305740356e-01,5.298393324017525163e-01,6.452308324617518354e-01
8.365586698055267334e-01,3.977676700800657494e-01,5.391702051900894022e-01
8.965111176172891883e-01,5.112237316720625868e-01,6.511421653945251853e-01
3.864875733852386475e-01,1.857346169212285292e-01,2.508959722414008664e-01
8.325155973434448242e-01,3.438752144575119019e-01,4.867115191718091038e-01
9.640596508979797363e-01,4.143348392646978851e-01,5.795779123424281698e-01
9.041828513145446777e-01,3.071023896336555481e-01,4.584827832742388587e-01
9.972535371780395508e-01,4.615180021486220974e-01,6.310110222283298320e-01
1.373154073953628540e-01,6.249394993681241239e-02,8.589569887913300894e-02
8.006273061037063599e-01,5.236835637513328479e-01,6.331977943259087249e-01
7.129667997360229492e-01,3.968541988004476440e-01,5.098909976539979239e-01
5.838017165660858154e-01,3.164992735666387058e-01,4.104689903159680076e-01
9.957136809825897217e-01,4.454791212263397582e-01,6.155590770607579643e-01
6.575056910514831543e-01,4.249859241878284899e-01,5.162731236647895017e-01
1.000000079472859627e+00,2.803317510330563533e-01,4.379048722096531843e-01
5.219417214393615723e-01,1.959565731939738042e-01,2.849370500105704029e-01
1.845389604568481445e-01,6.902446382296964500e-02,1.004695597258187800e-01
9.833288490772247314e-01,2.945728169490947623e-01,4.533399662287059817e-01
8.575420379638671875e-01,4.022834153535465029e-01,5.476551357697144740e-01
2.153035178780555725e-01,1.066324683260577444e-01,1.426267738584810207e-01
1.000000000000000000e+00,3.905760524555658697e-01,5.617471288475913704e-01
8.916946252187092359e-01,3.935294331091901410e-01,5.460652220055208783e-01
9.631889462471008301e-01,4.029241723653215757e-01,5.681698004514137423e-01
9.536927938461303711e-01,2.559718064477909949e-01,4.036134762937089171e-01
9.954980413118997840e-01,4.488287190596262355e-01,6.187077924021208153e-01
9.936164617538452148e-01,2.505997525447088425e-01,4.002520407278896686e-01
5.002472996711730957e-01,3.038427069783210532e-01,3.780584074761184077e-01
8.825755963722864417e-01,5.311666530998129243e-01,6.631968816206629258e-01
9.897121787071228027e-01,3.943878643214702717e-01,5.640206059081640522e-01
8.975087851285934448e-02,-1.189195126062259078e-02,-2.741658819457522267e-02
7.231274247169494629e-01,2.372648597351814381e-01,3.572971790251439628e-01
9.945052266120910645e-01,3.303049173402158867e-01,4.959049689799853722e-01
6.430207192897796631e-01,3.672073855996131897e-01,4.674626573423931730e-01
1.984592825174331665e-01,1.399913177286323807e-01,1.641750758006958189e-01
1.000000119209289551e+00,3.886533814792831887e-01,5.597558031829543701e-01
7.344967871904373169e-01,3.969419135859137970e-01,5.153660733542618777e-01
